keys,en
HINT_CELESTIAL_2,"The four star counts are distinct, total 23, Sun = Tide + 2, and Ash = Moon + 1. Tide has the fewest. Moon and Ash look backward, so face them opposite their constellation. After alignment, order the keepers by star count and walk their back symbols."
HINT_CELESTIAL_3,"Sun sees Crown (5), Moon sees Eye (7), Tide sees Triangle (3), Ash sees Serpent (8). Set facing directions: Sun Crown, Moon Diamond, Tide Triangle, Ash Crown. Press the seal. Then WALK Diamond → Eye → Key → Crown, leaving each plate between steps. Avoid the other plates."
STAR_SEAL,The seal of twenty-three
STAR_SEAL_INSPECT,"XXIII is cut into the seal. Press it after setting all four keepers. It judges their combined sight, not one statue at a time."
PROMPT_STAR_CONFIRM,E  Test the four watchers
KEEPER_TURNED,%s faces the %s bearing. Its sight may lie behind it.
STARS_WRONG,The seal stays cold. The four sights do not satisfy the covenant. Their positions remain as you set them.
STARS_ALIGNED,Four quiet chimes. The watchers hold. Now read their backs and walk the seal.
STAR_WALK_WRONG,A discordant step. The footsteps clear; the watchers remain aligned.
STAR_WALK_STEP,A soft chime. Another light on the central seal holds.
SOLVED_CELESTIAL,The last chime answers. The nursery door opens; steam breathes from below.
FLOOR_INSPECT,"An inlaid sign, large enough to stand on. After the watchers align, walking onto it enters a step. Using it by hand does nothing."
KEEPER_SUN,The Sun keeper
KEEPER_INSPECT_0,Sun is cut into the chest. A Eye is engraved on its back. The watchers’ law says this keeper sees forward. E turns the figure through six sky bearings.
KEEPER_MOON,The Moon keeper
KEEPER_INSPECT_1,Moon is cut into the chest. A Key is engraved on its back. The watchers’ law says this keeper sees behind its shoulders. E turns the figure through six sky bearings.
KEEPER_TIDE,The Tide keeper
KEEPER_INSPECT_2,Tide is cut into the chest. A Diamond is engraved on its back. The watchers’ law says this keeper sees forward. E turns the figure through six sky bearings.
KEEPER_ASH,The Ash keeper
KEEPER_INSPECT_3,Ash is cut into the chest. A Crown is engraved on its back. The watchers’ law says this keeper sees behind its shoulders. E turns the figure through six sky bearings.
GLYPH_TRIANGLE,Triangle
GLYPH_DIAMOND,Diamond
GLYPH_CROWN,Crown
GLYPH_KEY,Key
GLYPH_EYE,Eye
GLYPH_SERPENT,Serpent
OBJECTIVE_HOUSE_BELLS,Hear the house’s memory and repeat it on the four bells.
OBJECTIVE_HOUSE_PASSAGE,The bookcase has moved. Follow the secret passage into the great hall.
OBJECTIVE_TRAIN_DEPART,The locomotive is ready. Board at the green departure control beside the cab.
HOUSE_TITLE,The house’s memory
HOUSE_SONG_TITLE,What the walls remember
HOUSE_SONG_BODY,"Above each little bed a bell doth hang,
And in each woven hoop a charm is strung:
A lamp, a crescent moon, a cradle, and a door.
Wind thou the box: it sings the tune once more,
And every bell it calls will swing and shine.
Ring back the five, in order, note by line.
A faulty note unsings what thou hast done;
The box will play again for anyone.
But hush — the chair still rocks, the dolls still stare —
Who sits so still, and never leaves her chair?"
HOUSE_REPLAY,The memory box
HOUSE_REPLAY_INSPECT,Wind the music box. Its five notes belong to the bells above the beds.
HOUSE_BELL_INSPECT,A brass bell hangs above a woven dreamcatcher. A small charm is tied in the middle of the hoop.
HOUSE_BELL_WRONG,The last note does not belong. The five studs go dark. The box can play the memory again.
HOUSE_BELL_STEP,The bell answers. Another memory light holds.
SOLVED_HOUSE,"The five notes settle into silence. The bookcase slides aside, revealing a narrow passage."
HINT_HOUSE_1,"Read the record on the upstairs table, then inspect the memory box beside the four bells."
HINT_HOUSE_2,"Play the box. Five notes sound, and their bells flash in order. The captions name each bell; you can replay without losing accepted input."
HINT_HOUSE_3,Ring Cradle → Lamp → Door → Moon → Lamp. Then walk through the opening behind the bookcase.
PROMPT_REPLAY,E  Replay the memory
PROMPT_RING,E  Ring the bell
PROMPT_MECHANISM,E  Operate
PROMPT_BOARD,E  Board and depart
RAILWAY_TITLE,The last train
TRAIN_MANUAL_TITLE,The driver’s repair book
TRAIN_MANUAL_BODY,"The union leaks: shut feed ere bolts are drawn;
Make fast the joint, then let the feed run on.
Each furnace mark gives steam two, return one;
Relief takes one from each till work is done.
Let steam show THREE, return show ONE to thee;
Then loose the brake and set the carriage free.
Beside the cab the green control shall wait;
Board thou the train, and leave this sleeping gate."
TRAIN_FEED,Feed isolation wheel
TRAIN_FEED_INSPECT,The red wheel isolates the leaking pipe. SHUT permits the captive union clamp to be tightened; OPEN restores flow after repair.
TRAIN_UNION,Leaking union and captive clamp
TRAIN_UNION_INSPECT,A loose pipe union with its clamp already attached. Isolate the feed before tightening it. No loose tool is needed.
TRAIN_FIRE,Furnace control
TRAIN_FIRE_INSPECT,"Four settings, 0–3. With repaired feed open, each setting contributes two steam marks and one return mark. Relief subtracts from both."
TRAIN_RELIEF,Relief control
TRAIN_RELIEF_INSPECT,"Four settings, 0–3. Each relief mark subtracts one from both gauges. The engraved targets are steam III and return I."
TRAIN_BRAKE,Departure brake
TRAIN_BRAKE_INSPECT,HELD keeps the train at the platform. FREE permits departure when the pipe is repaired and both gauges match their engraved targets.
TRAIN_BOARD,Cab departure control
TRAIN_BOARD_INSPECT,"Board the locomotive and leave London when repairs, feed, gauges and brake are ready. Merely reaching the platform does not end the chapter."
TRAIN_ISOLATE_FIRST,Steam escapes around the union. Shut the red feed wheel before tightening its clamp.
TRAIN_CONTROL_CHANGED,"The mechanism settles. Check the pipe, the feed and both gauges."
TRAIN_NEEDS_REPAIR,The train cannot depart with a leaking union. Isolate the feed and tighten its captive clamp.
TRAIN_NEEDS_FEED,"The union is repaired, but the feed is still shut. Reopen the red wheel."
TRAIN_NEEDS_PRESSURE,The gauges do not match: steam must read THREE and return ONE.
TRAIN_NEEDS_BRAKE,"The pressure is ready, but the brake is still held. Release it beside the cab."
TRAIN_DEPARTING,"The whistle sounds. The wheels catch, and London begins to slide away."
HINT_RAILWAY_1,Read the driver’s repair book. Follow the leaking pipe to its red isolation wheel and captive clamp.
HINT_RAILWAY_2,"Repair with the feed shut, then reopen it. Furnace adds (2 steam, 1 return); relief subtracts (1 steam, 1 return). Match the targets (3, 1), then release the brake."
HINT_RAILWAY_3,"Shut the feed, tighten the union and reopen the feed. Set furnace 2 and relief 1. Set the brake FREE, then use the green departure control beside the cab."
BELL_LAMP,the bell above the lamp charm
ECHO_LAMP,The memory plays: Lamp.
BELL_MOON,the bell above the moon charm
ECHO_MOON,The memory plays: Moon.
BELL_CRADLE,the bell above the cradle charm
ECHO_CRADLE,The memory plays: Cradle.
BELL_DOOR,the bell above the door charm
ECHO_DOOR,The memory plays: Door.
LANDMARK_WATCH,Watch Post
LANDMARK_YARD,Cooper’s Yard
LANDMARK_PUB,The Crooked Crown
LANDMARK_CROSS,Bell Passage
LANDMARK_GATE,Mourning Gate
PROMPT_POLICE_PLAN,[E]  Spread out the street plan
SIGHTING,"You see him stop at %s, and wait there in the dark."
SHADOW_CLOSE,The lamps die. He is standing right in front of you.
LANDMARK_CHAPEL,Chapel Steps
LANDMARK_WELL,Widow’s Well
LANDMARK_MARKET,Rag Market
LANDMARK_TANNERY,Tanner’s Row
MENU_TITLE_SCRIPT,"The Last
Verse"
MENU_PLAY,Play
MENU_SETTINGS,Settings
MENU_EXIT,Exit
HINTS,Hints
HINTS_EYEBROW,Whispered in the Margin
HINTS_TITLE,Hints for the Riddles
HINTS_EMPTY,"No riddle hath been found as yet.
Begin the tale, and the margins will fill."
STORY_BOOK,The Traveller’s Book
JOURNAL_HINT_NOTE,Hints are kept on the chapter’s page in the title menu.
SETTINGS_EYEBROW,MAKE YOURSELF AT HOME
CONTROLS_TITLE,Controls
CONTROLS_LIST,"W A S D|Walk
Mouse|Look about
E|Use, take, or read
Right click|Look closer · turn a wheel back
Q|Throw what thou carriest
B|The traveller’s book
J|Journal & belongings
Esc|Pause"
WITCH_SCRAP_0_TITLE,the first sister’s scrap
WITCH_SCRAP_0_INSPECT,"A torn scrap of the spell, nailed to a crooked stake beside a witch."
WITCH_SCRAP_0_BODY,"The eye that watched the marsh by night
Will only open in dim light:
No flame for it, no roaring glow —
But embers, dying, soft and low."
WITCH_SCRAP_1_TITLE,the second sister’s scrap
WITCH_SCRAP_1_INSPECT,"A torn scrap of the spell, nailed to a crooked stake beside a witch."
WITCH_SCRAP_1_BODY,"Cold is the frog, and cold its toe;
Only a blaze will make it go.
The bat’s wool burns if fire rage,
And sulks on embers: give it a middle stage."
WITCH_SCRAP_2_TITLE,the third sister’s scrap
WITCH_SCRAP_2_INSPECT,"A torn scrap of the spell, nailed to a crooked stake beside a witch."
WITCH_SCRAP_2_BODY,"The dog’s grey tongue hath lapped at hell;
It knows the hottest fire well.
Roar up the flames before it fall,
Or it will not be swallowed at all."
BELLOWS,the bellows
BELLOWS_INSPECT,"A pair of old leather bellows, their nozzle pushed into the fire under the cauldron."
PROMPT_BELLOWS,[E]  Work the bellows
HEAT_0,The fire sinks to glowing embers.
HEAT_1,The fire settles into a steady flame.
HEAT_2,The fire roars up around the cauldron.
COOP,Play Together
COOP_EYEBROW,For Two Readers
COOP_BODY,"One of you hosts the tale and keeps its saved progress; the other joins by address. You walk the same London, see each other, and share every riddle. Only one of you can carry a puzzle piece at a time."
COOP_HOST,Host a Game
COOP_JOIN,Join a Game
COOP_WAITING,Waiting for a companion to join…
COOP_ADDRESS,Your address: %s   ·   port %d
COOP_ADDRESS_NOTE,"On the same network, your companion types this address. Over the internet, the host must forward the port."
COOP_HOST_FAILED,The game could not be hosted. Is another copy already hosting?
COOP_JOINED,A companion has joined.
COOP_JOINED_PLAYING,A companion has joined your tale.
COOP_BEGIN,Begin Together
COOP_JOIN_BODY,Type the address your host sees on their page.
COOP_CONNECT,Connect
COOP_CONNECTING,"Knocking at the host’s door… Once connected, wait for them to begin."
COOP_CONNECTED,Connected. Waiting for the host to begin the tale…
COOP_FAILED,No one answered at that address.
COOP_HOST_LEFT,The host has closed the tale. You are back in your own.
COOP_COMPANION_LEFT,Your companion has left the tale.
COOP_COMPANION_HOLDS,Your companion is carrying the piece.
COOP_CANCEL,Cancel
